customer_id,service_id,usage_month,data_used_gb,minutes_used,texts_sent,overage_charges,peak_speed_mbps,uptime_percentage,hours_watched,channels_watched,ppv_purchases
CUST_000001,SVC_00000001,2025-07,22.82,0.0,2422.0,0.0,,,,,
CUST_000001,SVC_00000001,2025-07,26.09,679.0,0.0,10.90795178102752,,,,,
CUST_000001,SVC_00000001,2025-06,12.11,774.0,691.0,0.0,,,,,
CUST_000001,SVC_00000001,2025-05,10.88,1412.0,2031.0,0.0,,,,,
CUST_000001,SVC_00000001,2025-04,7.6,160.0,1238.0,0.0,,,,,
CUST_000001,SVC_00000001,2025-03,13.29,998.0,1071.0,0.0,,,,,
CUST_000001,SVC_00000001,2025-02,19.09,1574.0,2152.0,0.0,,,,,
CUST_000001,SVC_00000001,2025-01,14.62,726.0,1214.0,0.0,,,,,
CUST_000001,SVC_00000001,2024-12,24.45,549.0,1536.0,0.0,,,,,
CUST_000001,SVC_00000001,2024-11,15.41,599.0,402.0,0.0,,,,,
CUST_000001,SVC_00000001,2024-10,17.58,775.0,1900.0,0.0,,,,,
CUST_000001,SVC_00000001,2024-09,10.73,1288.0,798.0,0.0,,,,,
CUST_000001,SVC_00000002,2025-07,28.7,100.0,1847.0,36.96322272143142,,,,,
CUST_000001,SVC_00000002,2025-07,18.8,481.0,1839.0,0.0,,,,,
CUST_000001,SVC_00000002,2025-06,25.24,0.0,1902.0,2.3614935808127058,,,,,
CUST_000001,SVC_00000002,2025-05,0.0,413.0,2803.0,0.0,,,,,
CUST_000001,SVC_00000002,2025-04,10.35,330.0,1341.0,0.0,,,,,
CUST_000001,SVC_00000002,2025-03,31.54,67.0,658.0,65.43250705308417,,,,,
CUST_000001,SVC_00000002,2025-02,26.98,1543.0,1417.0,19.79453465437011,,,,,
CUST_000001,SVC_00000002,2025-01,5.09,1638.0,2775.0,0.0,,,,,
CUST_000001,SVC_00000002,2024-12,20.43,475.0,1460.0,0.0,,,,,
CUST_000001,SVC_00000002,2024-11,13.72,932.0,2660.0,0.0,,,,,
CUST_000001,SVC_00000002,2024-10,22.04,369.0,2601.0,0.0,,,,,
CUST_000001,SVC_00000002,2024-09,17.51,1074.0,2673.0,0.0,,,,,
CUST_000001,SVC_00000003,2025-07,177.68,,,,796.3378003851408,98.40281817296118,,,
CUST_000001,SVC_00000003,2025-07,86.43,,,,834.587530660716,102.96733482737663,,,
CUST_000001,SVC_00000003,2025-06,31.98,,,,796.6922617011635,100.16081440261216,,,
CUST_000001,SVC_00000003,2025-05,424.62,,,,788.6083260289512,97.25117545483127,,,
CUST_000001,SVC_00000003,2025-04,446.56,,,,724.2511699381776,95.91511744253218,,,
CUST_000001,SVC_00000003,2025-03,638.92,,,,895.7489981260057,99.27749146527663,,,
CUST_000001,SVC_00000003,2025-02,445.81,,,,907.341058091429,99.53650948516713,,,
CUST_000001,SVC_00000003,2025-01,580.8,,,,770.1747547346238,101.16797560786092,,,
CUST_000001,SVC_00000003,2024-12,464.16,,,,819.3232538411513,97.29490836693195,,,
CUST_000001,SVC_00000003,2024-11,457.39,,,,716.7328277997299,98.24257591020726,,,
CUST_000001,SVC_00000003,2024-10,236.92,,,,693.3071691593965,102.38715710452544,,,
CUST_000001,SVC_00000003,2024-09,666.27,,,,991.9375465394047,97.36565747066666,,,
CUST_000002,SVC_00000004,2025-07,,,,,,,124.0,4.0,0.0
CUST_000002,SVC_00000004,2025-07,,,,,,,78.0,7.0,0.0
CUST_000002,SVC_00000004,2025-06,,,,,,,194.0,11.0,0.0
CUST_000002,SVC_00000004,2025-05,,,,,,,184.0,19.0,0.0
CUST_000002,SVC_00000004,2025-04,,,,,,,258.0,3.0,0.0
CUST_000002,SVC_00000004,2025-03,,,,,,,195.0,24.0,9.98
CUST_000002,SVC_00000004,2025-02,,,,,,,61.0,23.0,0.0
CUST_000002,SVC_00000004,2025-01,,,,,,,140.0,13.0,0.0
CUST_000002,SVC_00000004,2024-12,,,,,,,70.0,9.0,0.0
CUST_000002,SVC_00000004,2024-11,,,,,,,242.0,15.0,0.0
CUST_000002,SVC_00000004,2024-10,,,,,,,166.0,8.0,0.0
CUST_000002,SVC_00000004,2024-09,,,,,,,73.0,23.0,0.0
CUST_000002,SVC_00000005,2025-07,4.2,633.0,1527.0,0.0,,,,,
CUST_000002,SVC_00000005,2025-07,15.89,728.0,1816.0,0.0,,,,,
CUST_000002,SVC_00000005,2025-06,20.54,1093.0,711.0,0.0,,,,,
CUST_000002,SVC_00000005,2025-05,12.73,1277.0,2215.0,0.0,,,,,
CUST_000002,SVC_00000005,2025-04,4.02,940.0,0.0,0.0,,,,,
CUST_000002,SVC_00000005,2025-03,15.38,1559.0,741.0,0.0,,,,,
CUST_000002,SVC_00000005,2025-02,8.33,1105.0,265.0,0.0,,,,,
CUST_000002,SVC_00000005,2025-01,9.94,1038.0,992.0,0.0,,,,,
CUST_000002,SVC_00000005,2024-12,13.11,1097.0,1837.0,0.0,,,,,
CUST_000002,SVC_00000005,2024-11,17.13,664.0,1796.0,0.0,,,,,
CUST_000002,SVC_00000005,2024-10,14.01,983.0,1102.0,0.0,,,,,
CUST_000002,SVC_00000005,2024-09,13.54,404.0,1471.0,0.0,,,,,
CUST_000002,SVC_00000006,2025-07,8.51,354.0,1706.0,0.0,,,,,
CUST_000002,SVC_00000006,2025-07,16.7,1113.0,1155.0,0.0,,,,,
CUST_000002,SVC_00000006,2025-06,18.26,1020.0,1855.0,0.0,,,,,
CUST_000002,SVC_00000006,2025-05,8.39,859.0,1791.0,0.0,,,,,
CUST_000002,SVC_00000006,2025-04,15.06,0.0,1628.0,0.0,,,,,
CUST_000002,SVC_00000006,2025-03,32.7,655.0,917.0,77.00248315177944,,,,,
CUST_000002,SVC_00000006,2025-02,17.99,924.0,2454.0,0.0,,,,,
CUST_000002,SVC_00000006,2025-01,4.94,1092.0,1972.0,0.0,,,,,
CUST_000002,SVC_00000006,2024-12,13.86,935.0,2323.0,0.0,,,,,
CUST_000002,SVC_00000006,2024-11,21.98,342.0,2156.0,0.0,,,,,
CUST_000002,SVC_00000006,2024-10,14.48,829.0,1558.0,0.0,,,,,
