customer_id,service_id,plan_id,plan_name,service_type,monthly_fee,service_start_date,service_status,auto_pay,contract_length,early_termination_fee
CUST_000001,SVC_00000001,PLAN_009,Business Mobile,Mobile,45.99,2024-05-31,Active,True,0,158.03910056924232
CUST_000001,SVC_00000002,PLAN_002,Premium Mobile,Mobile,55.99,2024-11-20,Active,False,12,66.65657809579608
CUST_000001,SVC_00000003,PLAN_006,Home Internet Gigabit,Internet,99.99,2024-05-22,Active,True,12,166.76506003430015
CUST_000002,SVC_00000004,PLAN_008,Premium TV,TV,79.99,2021-12-11,Active,False,12,0.0
CUST_000002,SVC_00000005,PLAN_003,Ultimate Mobile,Mobile,85.99,2024-07-12,Active,False,0,0.0
CUST_000002,SVC_00000006,PLAN_002,Premium Mobile,Mobile,55.99,2024-03-24,Active,False,0,104.2146448781248
CUST_000002,SVC_00000007,PLAN_006,Home Internet Gigabit,Internet,99.99,2023-03-18,Active,False,0,0.0
CUST_000003,SVC_00000008,PLAN_001,Basic Mobile,Mobile,35.99,2024-01-21,Active,False,12,0.0
CUST_000004,SVC_00000009,PLAN_009,Business Mobile,Mobile,45.99,2025-06-08,Active,False,0,0.0
CUST_000005,SVC_00000010,PLAN_003,Ultimate Mobile,Mobile,85.99,2022-04-14,Active,True,0,156.46878741911084
CUST_000006,SVC_00000011,PLAN_002,Premium Mobile,Mobile,55.99,2024-07-08,Suspended,True,24,0.0
CUST_000006,SVC_00000012,PLAN_006,Home Internet Gigabit,Internet,99.99,2023-12-23,Active,True,24,0.0
CUST_000007,SVC_00000013,PLAN_009,Business Mobile,Mobile,45.99,2024-06-18,Active,False,12,156.98879664748168
CUST_000007,SVC_00000014,PLAN_006,Home Internet Gigabit,Internet,99.99,2024-05-08,Active,True,24,0.0
CUST_000007,SVC_00000015,PLAN_003,Ultimate Mobile,Mobile,85.99,2025-02-26,Active,True,12,0.0
CUST_000007,SVC_00000016,PLAN_005,Home Internet Pro,Internet,69.99,2024-08-16,Active,False,24,174.3597970876866
CUST_000008,SVC_00000017,PLAN_007,Basic TV,TV,39.99,2024-08-29,Cancelled,True,12,0.0
CUST_000008,SVC_00000018,PLAN_004,Home Internet Basic,Internet,49.99,2024-03-22,Active,True,12,0.0
CUST_000008,SVC_00000019,PLAN_003,Ultimate Mobile,Mobile,85.99,2024-02-15,Active,True,24,0.0
CUST_000009,SVC_00000020,PLAN_003,Ultimate Mobile,Mobile,85.99,2025-05-28,Active,False,12,0.0
CUST_000010,SVC_00000021,PLAN_010,Business Internet,Internet,129.99,2024-05-05,Suspended,False,12,55.32990773361295
CUST_000010,SVC_00000022,PLAN_005,Home Internet Pro,Internet,69.99,2024-12-24,Active,False,0,29.864144559943682
CUST_000011,SVC_00000023,PLAN_001,Basic Mobile,Mobile,35.99,2022-10-03,Active,True,12,0.0
CUST_000012,SVC_00000024,PLAN_005,Home Internet Pro,Internet,69.99,2024-02-16,Active,False,0,14.248574244048529
CUST_000012,SVC_00000025,PLAN_003,Ultimate Mobile,Mobile,85.99,2025-07-27,Active,False,0,0.0
CUST_000013,SVC_00000026,PLAN_006,Home Internet Gigabit,Internet,99.99,2021-10-26,Active,True,12,0.0
CUST_000014,SVC_00000027,PLAN_010,Business Internet,Internet,129.99,2023-01-28,Active,False,0,0.0
CUST_000015,SVC_00000028,PLAN_003,Ultimate Mobile,Mobile,85.99,2024-09-18,Active,True,24,0.0
