customer_id,ticket_id,creation_date,issue_type,priority,status,resolution_time_hours,satisfaction_rating,channel,agent_id
CUST_000836,TKT_00000001,2024-11-26,Technical Support,Medium,Closed,45.349431408928616,2,Chat,AGT_031
CUST_000916,TKT_00000002,2023-07-08,Technical Support,High,Closed,5.920365640270868,2,Email,AGT_034
CUST_000916,TKT_00000003,2023-08-06,Billing,Low,Closed,14.292924713967118,4,App,AGT_037
CUST_000949,TKT_00000004,2024-05-09,Billing,Medium,In Progress,4.741918269185378,2,App,AGT_015
CUST_000838,TKT_00000005,2023-05-30,Sales Inquiry,Medium,Closed,3.780809027458426,3,Email,AGT_047
CUST_000838,TKT_00000006,2024-08-23,Sales Inquiry,High,Closed,3.174148978051046,2,Chat,AGT_036
CUST_000845,TKT_00000007,2025-07-01,Sales Inquiry,Low,Closed,3.674110765193719,4,Chat,AGT_014
CUST_000845,TKT_00000008,2025-05-09,Service Change,Critical,Closed,2.2329563376498553,5,App,AGT_023
CUST_000169,TKT_00000009,2023-03-21,Billing,Low,Closed,8.42962476396633,5,App,AGT_036
CUST_000060,TKT_00000010,2023-04-12,Complaint,High,Closed,34.71916702997292,3,In Store,AGT_004
CUST_000060,TKT_00000011,2023-11-23,Complaint,High,Closed,10.103875178337947,4,App,AGT_027
CUST_000857,TKT_00000012,2023-12-05,Sales Inquiry,Medium,Closed,1.6173283896195547,4,Email,AGT_047
CUST_000088,TKT_00000013,2025-05-23,Service Change,Low,Closed,4.057298365770167,4,App,AGT_050
CUST_000088,TKT_00000014,2025-07-10,Billing,Low,In Progress,9.839833337262608,5,Email,AGT_046
CUST_000088,TKT_00000015,2025-06-30,Technical Support,Low,Closed,34.537507912432766,2,Phone,AGT_001
CUST_000334,TKT_00000016,2025-02-14,Sales Inquiry,Medium,Closed,2.698926673684359,5,Email,AGT_033
CUST_000766,TKT_00000017,2025-06-24,Complaint,Medium,In Progress,33.49887949715996,2,Email,AGT_038
CUST_000047,TKT_00000018,2022-08-30,Complaint,Low,Closed,28.253349626339162,5,Email,AGT_009
CUST_000047,TKT_00000019,2025-03-02,Billing,Medium,Closed,23.880881121877863,2,App,AGT_027
CUST_000294,TKT_00000020,2025-06-29,Sales Inquiry,Medium,Closed,0.7973621951993191,4,App,AGT_024
