customer_id,service_id,bill_date,due_date,amount_due,amount_paid,payment_date,payment_method,payment_status,late_fee
CUST_000001,SVC_00000001,2025-07-31 17:25:35.797240,2025-08-15 17:25:35.797240,55.24,55.24,2025-08-25 17:25:35.797240,Auto Pay,Late,25.0
CUST_000001,SVC_00000001,2025-07-01 17:25:35.797286,2025-07-16 17:25:35.797286,54.05,54.05,2025-07-14 17:25:35.797286,Credit Card,Paid,0.0
CUST_000001,SVC_00000001,2025-06-01 17:25:35.797295,2025-06-16 17:25:35.797295,54.39,54.39,2025-06-16 17:25:35.797295,Credit Card,Paid,0.0
CUST_000001,SVC_00000001,2025-05-02 17:25:35.797300,2025-05-17 17:25:35.797300,53.26,53.26,2025-05-22 17:25:35.797300,Credit Card,Late,25.0
CUST_000001,SVC_00000001,2025-04-02 17:25:35.797305,2025-04-17 17:25:35.797305,57.66,57.66,2025-04-21 17:25:35.797305,Bank Transfer,Paid,0.0
CUST_000001,SVC_00000001,2025-03-03 17:25:35.797310,2025-03-18 17:25:35.797310,53.16,53.16,2025-04-01 17:25:35.797310,Credit Card,Late,25.0
CUST_000001,SVC_00000001,2025-02-01 17:25:35.797315,2025-02-16 17:25:35.797315,53.48,53.48,2025-02-11 17:25:35.797315,Auto Pay,Paid,0.0
CUST_000001,SVC_00000001,2025-01-02 17:25:35.797322,2025-01-17 17:25:35.797322,55.07,55.07,2025-01-15 17:25:35.797322,Credit Card,Paid,0.0
CUST_000001,SVC_00000001,2024-12-03 17:25:35.797329,2024-12-18 17:25:35.797329,57.44,57.44,2024-12-21 17:25:35.797329,Credit Card,Paid,0.0
CUST_000001,SVC_00000001,2024-11-03 17:25:35.797334,2024-11-18 17:25:35.797334,54.64,54.64,2024-11-15 17:25:35.797334,Bank Transfer,Paid,0.0
CUST_000001,SVC_00000001,2024-10-04 17:25:35.797339,2024-10-19 17:25:35.797339,96.46,96.46,2024-10-22 17:25:35.797339,Check,Paid,0.0
CUST_000001,SVC_00000001,2024-09-04 17:25:35.797343,2024-09-19 17:25:35.797343,53.58,53.58,2024-09-24 17:25:35.797343,Check,Paid,0.0
CUST_000001,SVC_00000002,2025-07-31 17:25:35.797368,2025-08-15 17:25:35.797368,66.9,66.9,2025-08-24 17:25:35.797368,Auto Pay,Late,25.0
CUST_000001,SVC_00000002,2025-07-01 17:25:35.797375,2025-07-16 17:25:35.797375,64.03,64.03,2025-07-21 17:25:35.797375,Auto Pay,Paid,0.0
CUST_000001,SVC_00000002,2025-06-01 17:25:35.797379,2025-06-16 17:25:35.797379,62.76,62.76,2025-06-13 17:25:35.797379,Credit Card,Paid,0.0
CUST_000001,SVC_00000002,2025-05-02 17:25:35.797384,2025-05-17 17:25:35.797384,66.62,66.62,2025-05-14 17:25:35.797384,Bank Transfer,Paid,0.0
CUST_000001,SVC_00000002,2025-04-02 17:25:35.797388,2025-04-17 17:25:35.797388,67.9,67.9,2025-04-18 17:25:35.797388,Auto Pay,Paid,0.0
CUST_000001,SVC_00000002,2025-03-03 17:25:35.797393,2025-03-18 17:25:35.797393,66.56,66.56,2025-03-13 17:25:35.797393,Credit Card,Paid,0.0
CUST_000001,SVC_00000002,2025-02-01 17:25:35.797397,2025-02-16 17:25:35.797397,107.24,107.24,2025-02-27 17:25:35.797397,Check,Late,25.0
CUST_000001,SVC_00000002,2025-01-02 17:25:35.797402,2025-01-17 17:25:35.797402,67.36,67.36,2025-01-19 17:25:35.797402,Credit Card,Late,25.0
CUST_000001,SVC_00000002,2024-12-03 17:25:35.797406,2024-12-18 17:25:35.797406,68.03,68.03,2024-12-23 17:25:35.797406,Credit Card,Paid,0.0
CUST_000001,SVC_00000002,2024-11-03 17:25:35.797410,2024-11-18 17:25:35.797410,62.69,62.69,2024-11-23 17:25:35.797410,Bank Transfer,Paid,0.0
CUST_000001,SVC_00000002,2024-10-04 17:25:35.797415,2024-10-19 17:25:35.797415,84.3,84.3,2024-10-17 17:25:35.797415,Credit Card,Paid,0.0
CUST_000001,SVC_00000002,2024-09-04 17:25:35.797419,2024-09-19 17:25:35.797419,65.02,65.02,2024-09-23 17:25:35.797419,Credit Card,Paid,0.0
CUST_000001,SVC_00000003,2025-07-31 17:25:35.797437,2025-08-15 17:25:35.797437,114.6,114.6,2025-08-20 17:25:35.797437,Credit Card,Paid,0.0
CUST_000001,SVC_00000003,2025-07-01 17:25:35.797443,2025-07-16 17:25:35.797443,112.96,112.96,2025-07-12 17:25:35.797443,Bank Transfer,Paid,0.0
CUST_000001,SVC_00000003,2025-06-01 17:25:35.797448,2025-06-16 17:25:35.797448,112.26,112.26,2025-06-19 17:25:35.797448,Auto Pay,Paid,0.0
CUST_000001,SVC_00000003,2025-05-02 17:25:35.797452,2025-05-17 17:25:35.797452,111.05,111.05,2025-05-14 17:25:35.797452,Auto Pay,Paid,0.0
CUST_000001,SVC_00000003,2025-04-02 17:25:35.797456,2025-04-17 17:25:35.797456,114.69,114.69,2025-04-21 17:25:35.797456,Check,Paid,0.0
CUST_000001,SVC_00000003,2025-03-03 17:25:35.797461,2025-03-18 17:25:35.797461,114.95,114.95,2025-03-16 17:25:35.797461,Bank Transfer,Paid,0.0
CUST_000001,SVC_00000003,2025-02-01 17:25:35.797465,2025-02-16 17:25:35.797465,111.0,111.0,2025-02-18 17:25:35.797465,Bank Transfer,Paid,0.0
